,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,171.35723876953125,1544.9300537109375,172.55999755859375,1100.0699462890625,175.3000030517578,1544.9300537109375,172.55999755859375,1100.0699462890625,177.47000122070312,1561.6600341796875,177.1699981689453,1119.3699951171875,173.66000366210938,1525.3499755859375,170.05999755859375,1088.9200439453125,177.32000732421875,1554.530029296875,177.00999450683594,1117.760009765625,33446800,6580800,88140100,3182800
2018-03-20,171.29861450195312,1586.510009765625,168.14999389648438,1095.800048828125,175.24000549316406,1586.510009765625,168.14999389648438,1095.800048828125,176.8000030517578,1587.0,170.1999969482422,1105.550048828125,174.94000244140625,1545.4100341796875,161.9499969482422,1082.4200439453125,175.24000549316406,1550.3399658203125,167.47000122070312,1098.4000244140625,19649400,4581600,129851800,2729900
2018-03-21,167.4178924560547,1581.8599853515625,169.38999938964844,1094.0,171.27000427246094,1581.8599853515625,169.38999938964844,1094.0,175.08999633789062,1590.0,173.39999389648438,1108.699951171875,171.25999450683594,1563.1700439453125,163.3000030517578,1087.2099609375,175.0399932861328,1586.449951171875,164.8000030517578,1092.5699462890625,37054900,4750800,106598800,2244900
2018-03-22,165.0523223876953,1544.9200439453125,164.88999938964844,1053.1500244140625,168.85000610351562,1544.9200439453125,164.88999938964844,1053.1500244140625,172.67999267578125,1573.8499755859375,170.27000427246094,1083.9200439453125,168.60000610351562,1542.4000244140625,163.72000122070312,1049.6400146484375,170.0,1565.469970703125,166.1300048828125,1080.010009765625,41490800,6320600,73743000,3465600
2018-03-23,161.2302703857422,1495.56005859375,159.38999938964844,1026.550048828125,164.94000244140625,1495.56005859375,159.38999938964844,1026.550048828125,169.9199981689453,1549.02001953125,166.60000610351562,1066.780029296875,164.94000244140625,1495.3599853515625,159.02000427246094,1024.8699951171875,168.38999938964844,1539.010009765625,165.44000244140625,1051.3699951171875,41028800,8006000,53609700,2494000
2018-03-26,168.8841552734375,1555.8599853515625,160.05999755859375,1054.0899658203125,172.77000427246094,1555.8599853515625,160.05999755859375,1054.0899658203125,173.10000610351562,1556.989990234375,161.10000610351562,1059.27001953125,166.44000244140625,1499.25,149.02000427246094,1010.5800170898438,168.07000732421875,1530.0,160.82000732421875,1050.5999755859375,37541200,5624700,126116600,3299200
2018-03-27,164.55380249023438,1497.050048828125,152.22000122070312,1006.9400024414062,168.33999633789062,1497.050048828125,152.22000122070312,1006.9400024414062,175.14999389648438,1575.969970703125,162.85000610351562,1064.5400390625,166.9199981689453,1482.3199462890625,150.75,997.6199951171875,173.67999267578125,1572.4000244140625,156.30999755859375,1063.9000244140625,40922600,6999600,79117000,3040800
2018-03-28,162.73562622070312,1431.4200439453125,153.02999877929688,1005.1799926757812,166.47999572753906,1431.4200439453125,153.02999877929688,1005.1799926757812,170.02000427246094,1455.9000244140625,155.8800048828125,1024.989990234375,165.19000244140625,1386.1700439453125,150.8000030517578,984.0,167.25,1447.0,151.64999389648438,1001.9099731445312,41668500,13705300,60029200,3884900
2018-03-29,164.00637817382812,1447.3399658203125,159.7899932861328,1037.1400146484375,167.77999877929688,1447.3399658203125,159.7899932861328,1037.1400146484375,171.75,1455.469970703125,161.4199981689453,1048.050048828125,166.89999389648438,1365.199951171875,154.13999938964844,1004.0399780273438,167.80999755859375,1406.0,155.14999389648438,1011.2100219726562,38398500,12581100,59434300,3466900
2018-04-02,162.93112182617188,1371.989990234375,155.38999938964844,1012.6300048828125,166.67999267578125,1371.989990234375,155.38999938964844,1012.6300048828125,168.94000244140625,1421.3599853515625,159.1999969482422,1039.530029296875,164.47000122070312,1355.0,154.11000061035156,994.25,166.63999938964844,1417.6199951171875,157.80999755859375,1027.6199951171875,37586800,10463600,36796000,3253400
2018-04-03,164.60267639160156,1392.050048828125,156.11000061035156,1018.6799926757812,168.38999938964844,1392.050048828125,156.11000061035156,1018.6799926757812,168.75,1414.0,157.38999938964844,1025.0,164.8800048828125,1355.3299560546875,150.80999755859375,997.25,167.63999938964844,1391.3800048828125,156.5500030517578,1016.1500244140625,30278000,10231200,42543900,2566100
2018-04-04,167.750244140625,1410.5699462890625,155.10000610351562,1029.7099609375,171.61000061035156,1410.5699462890625,155.10000610351562,1029.7099609375,172.00999450683594,1415.3900146484375,155.55999755859375,1032.739990234375,164.77000427246094,1352.8800048828125,150.50999450683594,996.510009765625,164.8800048828125,1358.239990234375,152.02999877929688,998.22998046875,34605500,6982300,49885600,2536200
2018-04-05,168.91348266601562,1451.75,159.33999633789062,1032.6400146484375,172.8000030517578,1451.75,159.33999633789062,1032.6400146484375,174.22999572753906,1459.56005859375,161.57000732421875,1046.7099609375,172.0800018310547,1427.0699462890625,156.64999389648438,1024.0,172.5800018310547,1441.989990234375,161.55999755859375,1046.3900146484375,26933200,6413500,41449600,1791800
2018-04-06,164.59291076660156,1405.22998046875,157.1999969482422,1009.9500122070312,168.3800048828125,1405.22998046875,157.1999969482422,1009.9500122070312,172.47999572753906,1452.5,161.4199981689453,1036.0,168.1999969482422,1400.260009765625,156.80999755859375,1006.25,170.97000122070312,1429.969970703125,157.72999572753906,1023.0999755859375,35005300,5882300,41644800,2006700
2018-04-09,166.225341796875,1406.0799560546875,157.92999267578125,1020.0900268554688,170.0500030517578,1406.0799560546875,157.92999267578125,1020.0900268554688,173.08999633789062,1438.47998046875,160.52999877929688,1044.5899658203125,169.85000610351562,1402.5699462890625,156.0399932861328,1019.2000122070312,169.8800048828125,1425.030029296875,157.82000732421875,1020.0399780273438,29017700,4208200,34915200,1661000
2018-04-10,169.35337829589844,1436.219970703125,165.0399932861328,1036.5,173.25,1436.219970703125,165.0399932861328,1036.5,174.0,1438.3800048828125,165.97999572753906,1041.2099609375,171.52999877929688,1415.699951171875,157.00999450683594,1015.4099731445312,173.0,1431.989990234375,157.92999267578125,1030.260009765625,28408600,4254100,57889300,1831000
2018-04-11,168.5615692138672,1427.050048828125,166.32000732421875,1025.06005859375,172.44000244140625,1427.050048828125,166.32000732421875,1025.06005859375,173.9199981689453,1448.780029296875,168.64999389648438,1035.8699951171875,171.6999969482422,1424.8900146484375,163.25,1019.2000122070312,172.22999572753906,1439.43994140625,165.36000061035156,1032.0,22431600,3582500,56144600,1703000
2018-04-12,170.22335815429688,1448.5,163.8699951171875,1037.2900390625,174.13999938964844,1448.5,163.8699951171875,1037.2900390625,175.0,1452.1199951171875,167.4499969482422,1044.6500244140625,173.0399932861328,1435.06005859375,163.10000610351562,1026.050048828125,173.41000366210938,1439.5,166.97999572753906,1031.469970703125,22889300,3135000,38263000,1644800
2018-04-13,170.800048828125,1430.7900390625,164.52000427246094,1036.0400390625,174.72999572753906,1430.7900390625,164.52000427246094,1036.0400390625,175.83999633789062,1459.780029296875,165.6999969482422,1052.97998046875,173.85000610351562,1424.52001953125,163.77000427246094,1030.1500244140625,174.77999877929688,1449.1400146484375,164.5800018310547,1046.8900146484375,25124300,3685300,19990600,1270500
